Formula              ✕	Heat of formation              ✕	Band gap              ✕	Work function (avg. if finite dipole)              ✕	Cond. band minimum              ✕	Fermi level              ✕	Monolayer reported DOI              ✕	Related COD id              ✕	Related ICSD id              ✕	Val. band maximum              ✕	Unique ID              ✕
Sn2S2	-0.415	1.414	3.948	0.072	-0.635	-	1527226	-	-1.342	75949b282d57b05fcb2b2c6913930d42
BaCl2	-2.503	5.618	4.843	0.563	-2.246	-	-	-	-5.056	5be72740b3b99fd3d0887171446cb2af
CaCl2	-2.267	4.771	5.867	-0.507	-2.893	-	-	-	-5.278	a71bcf20166a7978c6809966abbe1052
CdCl2	-1.074	3.616	6.118	-2.059	-3.867	-	-	-	-5.675	9e9251049c68f54e2dd2d3bb6f3647dd
CoBr2	-0.352	0.174	5.682	-3.173	-3.26	-	-	-	-3.347	fd1095d11d1ca9e11cf8ea76d62326c5
Co4S8	-0.317	0.322	5.771	-1.925	-2.086	-	-	-	-2.247	ea21c857e91d256701c1ef8a42b069dd
CrO2	-1.627	0.0	6.079	-	-3.828	-	-	-	-	c5139f85d050d81ad1715cabddae5130
CuI2	-0.129	0.0	5.689	-	-2.752	-	-	-	-	90dcc7232ec630e32bf7185d45ea400a
FeO2	-0.783	0.0	7.495	-	-3.96	-	-	-	-	88dd1c447e7fe3c6f58f47ac4dbdb65b
Bi2Hf	-0.07	0.0	4.13	-	1.759	-	-	-	-	6310c91505ba8ea5538af54ff99ce3ba
HfTe2	-0.698	0.132	5.154	-0.892	-0.958	-	-	-	-1.024	316fe3b4bfe6432cd6e2f6e431c1e653
MnBr2	-0.75	1.775	5.142	-1.986	-2.873	-	-	-	-3.761	dfc43882de76d2bd95f53c1864363e04
MnS2	-0.567	0.0	5.722	-	-2.134	-	-	-	-	3acdbe287be7da6b22a1ed7c5b37ccb5
Y2N	-0.698	0.0	3.961	-	0.394	-	-	-	-	f6573db3e01c986eb2c6f9d3e1c9d0a2
Nb2I4	-0.369	0.0	2.98	-	1.178	-	-	-	-	9f997e6592b3a3a124fdf3f53d00f61c
NbSe2	-0.845	0.0	4.902	-	-0.637	-	1538603	645379	-	2d0f50dc6ce90f41601796a291b34d9f
NiI2	-0.13	0.106	4.881	-1.315	-1.368	-	9011538	-	-1.421	1d5f19dcd1cb9cb91f8f220921f794fd
Ni2Te4	-0.065	0.921	4.483	-1.291	-1.752	-	-	-	-2.212	db454753d336d372d28239b8284a7491
Bi2Ti	-0.013	0.0	4.272	-	1.131	-	-	-	-	cef58d772c785b4bd8667bd788b70694
Ti2O4	-2.951	2.855	6.822	-2.264	-3.691	-	-	-	-5.118	40cda48e6aa9f0b986e6245a1de3e956
Li2Pb	-0.014	0.0	2.904	-	-0.559	-	-	-	-	9c69a9c63ce55e78073e42e3d72c1049
PdS2	-0.196	1.171	5.706	-1.632	-2.217	-	-	-	-2.803	1a6135c2593a407d9bf3fdbbe60353d2
ScO2	-2.471	0.0	7.623	-	-5.067	-	-	-	-	4f1eb3be26308c2b9252b1f376f4254f
SnS2	-0.402	1.587	6.029	-1.623	-2.417	10.1002/anie.201204675	9009120	43003	-3.211	438abda5cb9d2142a788f12a6b7bcd53
TaCl2	-0.87	0.0	3.788	-	0.705	-	-	-	-	e0b4b430b39c97f4b5ffa524c0ac2c1d
TaS2	-1.067	0.0	5.083	-	-0.888	10.1021/acs.chemmater.6b02334	1538041	52117	-	5c508a7d2df87e5638b7ad95aa56dc59
W2Cl4	-0.206	0.0	3.329	-	1.246	-	-	-	-	327f19585c5af57125bff73c23bb7f85
W2S4	-0.696	0.0	5.661	-	-1.19	-	-	-	-	d89eac02445f0fb492c5deab6d89ffd4
ZrSe2	-1.048	1.446	5.325	-1.805	-2.528	-	-	-	-3.251	ed330f0681af3255299f251166772763
Ta2BO2	-1.718	0.0	5.543	-	-0.024	-	-	-	-	a04613c2576cb4e387e45ad5856cb7a4
V2CS2	-0.739	0.0	5.564	-	0.398	-	-	-	-	11822d14402999a32312f421ace46802
Cr2F2N	-1.504	0.0	5.301	-	-0.914	-	-	-	-	a70224e4600459d605c778b3680f8005
Ta2NSe2	-0.9	0.0	4.607	-	1.873	-	-	-	-	f4b1484806bd16f1ccd618e885a5d914
Zr2CH2O2	-1.485	0.0	2.031	-	1.973	-	-	-	-	22d9287a27842b7aecfb98bf193dddd5
Mn2H2NO2	-0.778	0.0	1.549	-	1.423	-	-	-	-	6e97a15a5bedf65d4c5e78a4464b9f04
GaNi5Cl2	-0.275	0.0	4.669	-	-0.086	-	-	-	-	4b32d4a7e308946bffd149752ebeb123
Ag2ReBr6	-0.335	0.562	5.762	-2.622	-2.903	-	-	-	-3.183	5d61bc089c9f35e93d2d9001f409e926
Al2Br6	-1.119	3.897	5.028	-0.232	-2.18	-	-	-	-4.129	4b7ccde51ea58d004ee9721ff90edd73
Au2Cl6	-0.098	0.208	6.589	-3.770	-3.874	-	-	-	-3.978	a4bf0a1280162688f41b1dc1fca15712
W2Cl6	-0.709	0.487	4.65	-0.574	-0.818	-	-	-	-1.061	b9c8ffc81f516388557dc346ad1c81bc
Cu2Br6	-0.152	0.107	6.416	-3.656	-3.71	-	-	-	-3.763	f638e033b9372d17c74007827b3483a8
Mn2Cl6	-0.833	0.039	5.317	-2.301	-2.32	-	-	-	-2.340	c32f59ba3e47e382cb2fdf1251c72be9
Ni2S6	-0.091	0.0	5.537	-	-0.926	-	-	-	-	be4a31977be79a2a62a038b5b65b413f
Pt2Se6	-0.13	0.0	4.838	-	-0.443	-	-	-	-	62c4a04b307e0a2942591745eb10a858
Rh2Te6	-0.148	0.0	4.616	-	0.608	-	-	-	-	e6007e0f3ca0e91739ec31887f273ede
Ta2I6	-0.232	0.0	4.003	-	-0.271	-	-	-	-	ff4e2f38efb6d7defcde9a3dddc0e45c
Tl2Cl6	-0.703	2.425	6.937	-3.021	-4.233	-	-	-	-5.446	79bf165157bbe0bb061d34b642def703
HfTi3Te8	-0.613	0.052	5.16	-0.991	-1.017	-	-	-	-1.043	1c0d41bc597f8c8f9a855c67b272005b
TiZr3Te8	-0.732	0.189	5.247	-1.022	-1.116	-	-	-	-1.211	1066315da25ab8dda8b09beda9097c5d
Al2Br2Se2	-0.938	1.535	4.679	-0.446	-1.214	-	-	-	-1.981	467eab86dfa304494d4490f94b90cce7
AsBrTe	-0.245	1.237	5.162	-1.384	-2.002	-	-	-	-2.621	a25e9dfb2c1cf5c344b1575480dfa8d1
AsIS	-0.108	1.336	5.108	-1.126	-1.794	-	-	-	-2.462	c080244de77e2ef89f6fbe98147ae309
BiIS	-0.287	0.401	5.635	-1.678	-1.878	-	-	-	-2.079	f3db22a683f644f2a73bb2cf62bffaf2
In2Br2O2	-1.295	2.29	6.008	-1.017	-2.162	-	-	24059	-3.307	9c9b1f4cab44409b1053d040d7d2dece
Ru2Br2Se2	-0.197	0.0	5.804	-	-1.7	-	-	-	-	62f70443901e0c8e2c5a5759edf7a1b8
Sc2Br2Se2	-1.752	1.51	5.302	-1.064	-1.819	-	-	-	-2.574	df8af6a8aa4467641044070dd0464aef
Cl2Ge2N2	-0.191	1.851	5.684	-0.715	-1.641	-	-	-	-2.567	c6331cad6a1efbe9968208b26a58e54f
ZrClI	-1.228	0.877	3.274	1.326	0.888	-	-	-	0.449	45278d3de75060cd1b083868156aced4
ClSbSe	-0.537	1.172	5.658	-2.013	-2.599	-	-	-	-3.185	3902b3bc8c6713c79636b695bd5b2cc3
Co2I2S2	-0.288	0.0	5.038	-	-0.721	-	-	-	-	903a8dd3705bc092ce014ced52fab469
Fe2Na2P2	-0.421	0.0	2.334	-	0.703	-	-	-	-	6fae587e6af164cb91b445d68aa3c7c4
Hf2I2N2	-1.459	1.585	4.859	0.617	-0.175	-	-	-	-0.967	fe64f979d0d3f54cdc0ccd5af6c3a7cc
Nb2I2N2	-0.834	0.0	4.489	-	0.085	-	-	-	-	406a033c248cae1e5ed007579466cc4f
Ti2I2O2	-1.921	0.0	4.396	-	-0.119	-	-	-	-	354eae427e727542091fdc4ed365b96d
Rh2I2Se2	-0.388	0.0	5.186	-	-1.011	-	-	-	-	c17773fa9f409c5a553c2cb2f1fa6b23
ISbSe	-0.312	1.012	5.118	-1.290	-1.796	-	-	-	-2.302	11e3d482babaed3808e4e3b7436a3b71
NbSTe	-0.76	0.0	5.193	-	-0.789	-	-	-	-	8cc206b952b0f73ee0d400161d88d733
ZrSSe	-1.478	0.613	5.44	-1.657	-1.964	-	-	-	-2.270	85a488fc567b219c6d7adf24b882d4d7
TiSeTe	-0.921	0.0	4.876	-	-1.142	-	-	-	-	454abd4fb1148c28661ed31904bcd406
Ag2I2Te4	-0.125	1.025	4.89	-1.508	-2.02	-	-	-	-2.533	2dd5479dd2357c6e0155574163b7b425
Co2H2S4	-0.329	0.364	5.081	-0.998	-1.18	-	-	-	-1.362	36bdd7f9b4aa854703ef3b1b48ae9d23
Cr2P2Se6	-0.312	0.431	4.56	-0.663	-0.879	-	-	626521	-1.094	719dce0efc96142887a5df03f2efc785
Ni2P2Se6	-0.133	0.0	4.882	-	-1.072	-	-	-	-	2d1bf7ac65c105ea3f021c1ba8ba558c
Mo2W2Te8	-0.207	0.862	4.173	1.049	0.618	-	-	-	0.187	3778728734deddc327e960ae25cb5ae6
As4S6	-0.14	2.272	4.873	-2.444	-3.58	-	9008211	-	-4.716	cb8cdd5b0e89e42e61f6cd365b33b619
Mo2Cl6	-0.918	0.639	5.156	-3.029	-3.348	-	1538556	-	-3.667	3ce1146a957775669828afef86502ce5
V4O10	-2.277	2.062	7.753	-5.391	-6.422	-	4124511	-	-7.453	53e7f4b6e7d85cee36e8ce1c735a02a7
Zr2Br2	-1.039	0.0	3.463	-0.634	-0.634	-	4343762	-	-0.634	e9a3a0973ea78083a0c7570f10d6aab6
Al2MnS4	-0.818	0.0	4.358	-	-1.047	-	-	608511	-	5815418d940d7a14d0b31bec46426798
Ca2Sn4F12	-2.948	3.924	4.032	-0.037	-1.999	-	1526708	-	-3.961	c8b5d7d2f65258329bcf25b4de14865e
Fe2In2Se5	-0.273	0.0	4.391	-	-0.637	-	-	155025	-	2426e9948ade090102695f9c91f9609d
In2Zn2S5	-0.592	0.0	5.353	-	-1.663	-	-	42443	-	4cb84ad95104551f11fa3de302dad676
Nb2Cl4Se4	-0.97	1.08	4.699	-2.250	-2.79	-	1522780	-	-3.330	2590e33a4873d5a5a5e0e1a743828b73
Nb2Cl4S4	-1.075	1.61	4.853	-2.177	-2.982	-	1540014	-	-3.788	a5ace0e3f7352143c740d21cf6ffbf04
Ni2Ta4Se10	-0.763	0.032	4.959	-2.754	-2.77	-	-	61148	-2.786	f500022c8186005ee8c08989ddfc52dd
PdTa2S6	-0.885	0.0	5.585	-	-3.448	-	4344384	-	-	adc6c2dfa14ddefb495590c903926b09
Ti2PTe2	-0.925	0.0	4.883	-	-1.626	-	-	418978	-	5f67b608d69f2d65a2f1796a09f1995a
Zr2I2N2	-1.441	0.284	4.563	-0.985	-1.127	-	-	51772	-1.269	57be1aa728ee0a2fa0f34d0dd22c2468
Ba4F4Sb4Se8	-1.769	1.386	4.876	-0.684	-1.377	-	4300722	-	-2.070	4cc0a59d5bdf3bc62a364567e893b99b
V3N2	-0.368	0.0	5.136	-	1.007	-	-	-	-	7ea46e992bd97ec3f04d8f94d5f14a2d
Co2Br4O6Sb4	-1.018	0.831	4.858	-2.367	-2.782	-	-	418858	-3.198	13ae99a6d070e5cd6ac47ba152246584
InNaI4O12	-0.517	2.81	6.057	-2.448	-3.853	-	-	422057	-5.258	f457afaf409050973f0dacc2fe20e977
Mg2Mo2O12Te2	-1.951	3.167	6.421	-2.040	-3.623	-	7207940	-	-5.207	48c4f870a83555b5b34406473974869e
NaW2Br6O2	-1.2	0.0	5.271	-	-3.548	-	-	408934	-	e4fe4d3b35ccc1b3f30eac1273968801
Sn2H2O6P2	-1.532	4.3	3.997	-0.470	-2.62	-	4328407	-	-4.771	eeef0bd9fb77fbb09b2b470738cfe349
NiC4H8N2O4	-0.557	1.326	4.23	-2.591	-3.254	-	4509073	-	-3.916	73a1f11f06482942ec5d3813d72a8820
Ti3B2H2Se2	-0.432	0.0	3.001	-	1.648	-	-	-	-	2a2a9cbdf77b6d7c057b292fb707c754
Sc3H2N2O2	-1.904	0.0	1.793	-	2.373	-	-	-	-	94b60a93ea864ed18a420bf8463d57db
Ta3C2O2	-1.397	0.0	5.011	-	2.226	-	-	-	-	b6fab5dc395ffa38f0da8dfc48a0034b
Y3F2N2	-2.614	0.0	3.259	-	2.023	-	-	-	-	7323688dac10d4182b1345cc0080523e
Mn4C3H2O2	-0.304	0.0	1.679	-	3.338	-	-	-	-	4566a2a4622ad9d17dde85f5cd6baef3
Sc4H2N3O2	-1.947	0.0	2.043	-	3.01	-	-	-	-	3e97090208fc75cb12280d68db768e57
Sc3C2	-0.284	0.0	3.626	-	0.768	-	-	-	-	9653b3d259e6634ac39a91cb4a517b3e
Cr4C3O2	-0.414	0.0	6.571	-	1.001	-	-	-	-	f33e1624248ed38acab2eb0c939173bf
Ta4C3	-0.264	0.0	4.729	-	3.444	-	-	-	-	91db28030c0592cde299b0f0b98e4260
Al2Se2	-0.711	2.138	4.723	0.145	-0.923	-	-	-	-1.992	922880f82b432ba16cd23dd8add49863
BN	-1.292	4.667	3.487	1.023	-1.311	10.1038/nmat2711	2016170	186248	-3.644	a603ee2811e8b3ee012d9c43caa7047d
Co2Te2	-0.088	0.0	4.086	-	-0.167	-	-	-	-	981688833a10561ed672183d9b638391
Cu2O2	-0.457	0.001	5.551	-3.752	-3.752	-	-	-	-3.753	89d9c14439cb1e70821dea84ceb56479
Sn2F2	-1.46	0.316	6.875	-4.252	-4.41	-	-	-	-4.568	f8399bc4b8043c88fe2c2d1f6c93091b
Fe2Te2	-0.011	0.0	4.417	-	-0.139	-	-	-	-	4092d6aad9af4511c85cd77bde4e81df
HgTe	-0.038	0.153	5.03	-2.884	-2.961	-	-	-	-3.037	c7b381a2734e40099e3f3cad262bb85b
Ir2Se2	-0.035	0.073	4.381	1.175	1.138	-	-	-	1.102	9b6601f978efe6bdf3603b9b9eaf46a1
Ni2Se2	-0.263	0.0	4.734	-	-1.22	-	-	-	-	3e7cedf37daae7916037a577466dc739
Rh2Te2	-0.331	0.0	3.802	-	-0.104	-	-	-	-	571ccc11538e9fd177fc9ff8df365fa0
Ru2Te2	-0.091	0.0	4.056	-	-0.421	-	-	-	-	d41398a9d25d5f6680027461f0dd3e71
Tl2S2	-0.144	0.628	5.986	-1.660	-1.975	-	-	-	-2.289	bc7f1704e5cae9866db0e80ab56dfb25
V2Te2	-0.128	0.0	4.272	-	-0.179	-	-	-	-	53354e0761ae0de64671f1a00cabef68
BaCl2	-2.37	4.747	5.469	-0.081	-2.454	-	-	-	-4.828	e13de90b18c887b53baf009d019443fa
CaCl2	-2.239	5.53	5.178	-0.577	-3.343	-	-	-	-6.108	16be7e8193557928c8e018fb32dd1cc9
CoCl2	-0.613	0.168	5.966	-3.426	-3.51	-	-	-	-3.594	b0e330c1bd641c33a2f6ea15295a157b
Cr2S4	-0.563	0.0	5.751	-	-1.558	-	-	-	-	cc5dd375e398a207e5471f8302f4ea7e
CrTe2	-0.106	0.453	4.548	0.225	-0.002	-	-	-	-0.228	bcce3831cc265bf831634be8a6bb9fb0
FeO2	-0.94	0.0	6.323	-	-4.095	-	-	-	-	a694584854b4101c828a9229601fc2ec
FeTe2	-0.026	0.0	4.268	-	0.023	-	-	-	-	2ba96a46b24d61935cf448cba1ee35aa
Bi2Hf	-0.074	0.0	4.181	-	1.668	-	-	-	-	ca4e390441838bf4de500043cbd45c9b
Mn2Se4	-0.417	0.0	4.996	-	-0.86	-	-	-	-	742b11c62e4e0a6c93a3f98cce2660ce
Mo2Cl4	-0.521	0.0	3.803	-	0.508	-	-	-	-	bbff2dbacb835f7d795f1f8a218bebe8
Mo2S4	-0.741	0.051	5.78	-1.386	-1.412	-	4124624	-	-1.437	3f5a0076ac8eb33a940870af0eb65074
MoTe2	-0.301	0.932	4.3	0.921	0.455	10.1038/nature24043	9009147	15431	-0.011	2bdd7f9187acdfd9d9f096709e5d7a18
Zr2N	-0.544	0.0	4.424	-	0.372	-	-	-	-	9aac75d2d89b87d95944186ccbe74f22
NbSe2	-0.877	0.0	5.538	-	-1.227	10.1038/nnano.2015.143	1539310	237740	-	ab368c8468997539ff853a1deeb03a80
NiI2	-0.031	0.0	5.37	-	-2.744	-	-	-	-	63b3f36e7c60ef9927d22233fcb11260
NiTe2	-0.174	0.0	4.431	-	-0.606	-	9009113	-	-	7fe0c65ed4621e4d5e241bd31783f048
Os2O4	-0.838	0.169	6.142	-2.147	-2.232	-	-	-	-2.317	142d54363a3706f584a89c96f85e2f22
PtCl2	-0.067	0.403	5.26	-1.961	-2.163	-	-	-	-2.364	fad33b2d4349f7e029b55e4466382213
Pt2Se4	-0.31	1.441	4.67	-1.155	-1.876	-	-	-	-2.596	f2e6c586b111be3677b05413cafffa72
Li2Rh	-0.018	0.0	3.522	-	-0.689	-	-	-	-	d3e4cc07f461c7002fc7091dc2aa0235
ScO2	-2.427	1.464	6.725	-3.284	-4.016	-	-	-	-4.747	4428be2fbe683e0bed98b4d73776db60
TaS2	-1.087	0.0	5.932	-	-1.632	-	-	651083	-	5d561ba9fd4b629fb40f6c8d79ac3b95
TiBr2	-1.145	0.758	3.496	0.547	0.168	-	-	-	-0.211	acc9bc0c5a099a01c426cf8399f78209
VSe2	-0.708	0.248	5.434	-1.175	-1.298	-	-	-	-1.422	9a607b7eeb6483ee5dd41bb1c4a6698d
ZrH2	-0.065	0.0	4.474	-	-1.963	-	-	-	-	a880263a578881991722fc9aa1189ff5
ZrSe2	-1.367	0.337	5.289	-1.301	-1.47	10.3390/app6090264	1539555	-	-1.638	bf99491bec86619f0aa834dd3ff670ad
Ti2NSe2	-1.29	0.0	5.299	-	0.803	-	-	-	-	cf4f623588012d1970d8da4bc2bcf9b0
Au2MoSe4	-0.231	0.592	4.335	-1.088	-1.384	-	-	-	-1.680	56932d4e7e1f4898649022faa9daedd9
Ag2ReCl6	-0.567	0.778	5.942	-2.757	-3.146	-	4508861	-	-3.535	1a7c742f55fbabd803d9cc6eda560237
W2Cl6	-0.652	0.706	4.186	0.010	-0.343	-	-	-	-0.696	95b10aecaf5ff5e3bfcc57ec3602e978
Cu2Cl6	-0.31	0.426	7.168	-4.232	-4.445	-	-	-	-4.659	3e09ed6f37336160ed86b73925d05292
Ga2I6	-0.396	1.153	5.3	-1.581	-2.157	-	-	-	-2.733	210bc1dbe75d23ceb5bf17769853e9a5
In2Cl6	-1.139	3.761	6.319	-1.668	-3.548	-	-	-	-5.428	3bcef904c86f105c0bad74d6c87ca5eb
Pt2Te6	-0.139	0.0	4.502	-	0.157	-	-	-	-	2a1faa5c97acdbe33d601a4d2635a723
Ru2Br6	-0.308	0.0	5.477	-	-2.517	-	-	-	-	7d89f68bb1a34e6ea140d810f432db03
Sc2Br6	-1.779	2.975	5.659	-1.459	-2.946	-	-	-	-4.434	e6d745ad28fbb2f8cd6ff0ca2c9e9154
HfZr3S8	-1.394	1.154	6.306	-1.803	-2.38	-	-	-	-2.956	2c9507be1be28275c2a28247214e0a02
Cr3WS8	-0.714	0.863	5.348	-0.546	-0.978	-	-	-	-1.409	ec7fb8a3542d813ef01fdad12105de35
AsBrTe	-0.082	1.064	5.185	-1.027	-1.56	-	-	-	-2.092	be7ab8f5bcad3f45099a3135537cf300
BiClS	-0.538	1.43	6.438	-2.242	-2.957	-	-	-	-3.672	b0b4f7089300d716c973e0001ffbd13f
BiIS	-0.412	0.777	5.822	-2.150	-2.539	-	-	-	-2.928	c52185e9a8e1e5bf9ac6e9ddc72c7971
TiBrCl	-1.326	0.83	3.646	0.479	0.064	-	-	-	-0.351	e5ec52787d072b0e68bbbbc01a62163c
Cr2Br2S2	-0.807	0.455	5.703	-1.777	-2.004	-	-	69659	-2.232	5895ae3c6e4120721ab4e1ab73b1bc4c
In2Br2S2	-0.703	1.908	5.672	-1.215	-2.169	-	-	-	-3.123	e02d6f6ac0b05d0d79e326aef591ead2
Tl2Br2O2	-0.641	1.013	6.605	-2.304	-2.81	-	-	-	-3.317	7d9c03fa6b1630404dc56d520729fdb2
BrSSb	-0.287	1.426	5.648	-1.388	-2.101	-	-	-	-2.814	c8ad2fa73a06068a572dbbfbae146335
Zr2Cl2N2	-1.86	1.849	5.636	-0.563	-1.488	-	-	-	-2.412	92fa3a880831206ee26962f9b279cad0
Rh2Cl2S2	-0.62	0.011	6.235	-2.337	-2.343	-	-	-	-2.348	3cd271ba9136e72478a2b1c38e4ab052
ClSbSe	-0.405	1.674	5.653	-1.293	-2.129	-	-	-	-2.966	dd1e4e08bbde1177a781bccf6276eb30
Co2I2Se2	-0.233	0.0	5.071	-	-0.838	-	-	-	-	1797a22901f78468e33283f73dafca3b
Fe2Sr2Si2	-0.235	0.0	2.708	-	1.134	-	-	-	-	315f1fd80d6d4431c60532bfeb251dd2
